Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,SBIN.NS,TCS.NS,TITAN.NS,WIPRO.NS
01-01-2018,1002.849976,352.9500122,575.125,271.3999939,1416.5,952.2733765,313.25,1556.175049,869.5499878,228.5250549
01-02-2018,942.0999756,313.25,586.2999878,265.0499878,1318.150024,945.586792,268,1517.525024,816.1500244,219.6000519
01-03-2018,943.0499878,278.3500061,565.9000244,255.5,1310.900024,874.411438,249.8999939,1424.574951,942.2999878,210.8625488
01-04-2018,972.1500244,284.2000122,599.75,281.4500122,1400.900024,954.2546387,246.3999939,1766.050049,981.7999878,209.0625458
01-05-2018,1069.724976,285.7999878,615.9000244,271.6499939,1370.400024,912.6985474,269.5499878,1741.050049,900.0999756,196.4250488
01-06-2018,1054.224976,275.3999939,653.5999756,266.2000122,1275.099976,963.3187256,259.3500061,1847.75,878.5,196.1250458
01-07-2018,1089.75,304.25,682.5499878,297.7000122,1302.300049,1174.863525,293.5,1940.199951,912.3499756,207.3000488
01-08-2018,1030.599976,342.6000061,720.5499878,319.8500061,1369.550049,1229.990967,309.6000061,2078.399902,891.9000244,225.937561
01-09-2018,1003.025024,305.5499878,730.0499878,297.75,1272.099976,1246.137817,265.5,2183.699951,805.5999756,243.000061
01-10-2018,955.875,355,686.4000244,280.1000061,1297.5,1051.284912,281.3999939,1938.150024,844.5999756,248.4000549
01-11-2018,1064.224976,355.1499939,667.4500122,285.7999878,1432.5,1156.58667,284.6499939,1968.25,927.0999756,243.4875641
01-12-2018,1060.849976,360.1499939,658.9500122,281.6499939,1437.550049,1110.721436,295.8999939,1893.050049,931,248.137558
01-01-2019,1039.974976,364.4500122,749.5499878,278.6499939,1314.300049,1215.627075,293.6499939,2014.099976,995.7999878,276.9000549
01-02-2019,1038.775024,350.1499939,734.2999878,276.0499878,1292.949951,1219.490479,269.0499878,1983.449951,1025.199951,276.6750793
01-03-2019,1159.449951,400.5,743.8499756,297.25,1385.300049,1350.449097,320.75,2001.650024,1141.849976,254.8000031
01-04-2019,1158.724976,407.5,751.3499756,301.3500061,1348.550049,1379.721558,309.9500122,2260.350098,1158.550049,298.5499878
01-05-2019,1212.675049,423.7000122,737.75,278.5499878,1557.550049,1317.659912,352.5,2196.550049,1235.75,286.3999939
01-06-2019,1221.875,437.1000061,732,273.8500061,1553.199951,1241.333374,361.25,2227.199951,1334.699951,280.5
01-07-2019,1125.824951,424.6000061,793.6500244,270.2000122,1387.300049,1155.29895,332.2000122,2205.699951,1056.349976,265.2999878
01-08-2019,1113.974976,409.6499939,814.9000244,245.6499939,1328.25,1236.826172,273.8500061,2259.600098,1105.099976,254.3999939
01-09-2019,1227.449951,433.7000122,805.6500244,259.8500061,1474.25,1319.740234,270.7999878,2099.300049,1273.050049,239.8000031
01-10-2019,1230.349976,463.0499878,685.5999756,257.6499939,1473.050049,1450.599731,312.3999939,2269.649902,1331.199951,259.2999878
01-11-2019,1274.949951,512.5999756,696.3499756,246.3999939,1330.550049,1536.584717,341.8500061,2053.25,1159.699951,237.6999969
01-12-2019,1272.099976,538.9000244,731.1500244,237.6999969,1298.199951,1499.83313,333.75,2161.699951,1187.949951,245.8000031
01-01-2020,1226.300049,525.6500244,775.9500122,235.1499939,1369.300049,1398.394653,318.4500122,2079.050049,1187.75,236.8000031
01-02-2020,1177.650024,497.25,731.7000122,197.5500031,1187.550049,1316.17395,303,2000.150024,1254.5,221.4499969
01-03-2020,861.9000244,323.75,641.5,171.6999969,808.5,1103.29187,196.8500061,1826.099976,933.7000122,196.6999969
01-04-2020,1001.799988,380.1499939,715.5,182.0500031,897.5499878,1452.234253,190.5,2014.449951,970.0499878,190.9499969
01-05-2020,951.6500244,331.9500122,691,197.3500061,932.25,1464.400024,161.3000031,1972.349976,890,212.8000031
01-06-2020,1065.849976,351.4500122,735.9500122,194.6499939,943.6500244,1704.099976,178.4499969,2082.149902,949.8499756,219.6499939
01-07-2020,1032.800049,346.7999878,966,194.1499939,913.4500122,2067.100098,191.4499969,2281.399902,1043.25,280.9500122
01-08-2020,1115.849976,394.6000061,928.5999756,191.1000061,944.9500122,2080.699951,212,2257.25,1100.5,271.2999878
01-09-2020,1078.599976,354.75,1008.25,171.6999969,901.5999756,2234.350098,185.3999939,2492.300049,1201.349976,313.5499878
01-10-2020,1183.550049,392.6000061,1060.599976,165.25,929.5,2054.5,189.25,2664.850098,1165.75,340.7000122
01-11-2020,1440.849976,473.3500061,1100,193.6499939,1122.400024,1929.800049,244.25,2679.649902,1361.199951,350.5
01-12-2020,1436.300049,535.0499878,1255.800049,209,1287.599976,1985.300049,274.9500122,2862.75,1567.150024,386.25
01-01-2021,1390.5,537,1239.050049,203.25,1334.699951,1841.949951,282.1000061,3111.350098,1420.300049,417.8999939
01-02-2021,1534.400024,597.75,1253.300049,203.8500061,1442.5,2085.800049,390.1499939,2894.300049,1406.900024,410.2999878
01-03-2021,1493.650024,582.0999756,1368.050049,218.5,1418.900024,2003.099976,364.2999878,3177.850098,1558.050049,414.1499939
01-04-2021,1412.300049,600.5,1354.349976,202.6000061,1340.449951,1994.5,353.5,3035.649902,1491.650024,492.75
01-05-2021,1515.849976,662.75,1393.75,216.6000061,1467.699951,2160.300049,424.3500061,3159.149902,1596.25,539.0499878
01-06-2021,1497.900024,630.9000244,1580.800049,202.6999969,1500.550049,2110.649902,419.2000122,3345.75,1732.5,545.6500244
01-07-2021,1426.449951,682.5,1610.5,204.9499969,1601.449951,2035.300049,431.7999878,3167.449951,1714.550049,587.1500244
01-08-2021,1581.400024,719.0499878,1706.449951,211.3000031,1672.199951,2258.149902,426.0499878,3786.449951,1921.599976,640.9500122
01-09-2021,1594.949951,700.8499756,1675.199951,236.1499939,1702.949951,2519.25,453,3775.550049,2161.850098,634.0999756
01-10-2021,1582.849976,802.0499878,1667.75,223.1999969,1766.650024,2536.25,502.1499939,3397.75,2383.550049,646.75
01-11-2021,1493.550049,714.3499756,1712.650024,221.1499939,1764.75,2405.399902,460.5499878,3529.149902,2375.5,637.25
01-12-2021,1479.400024,740.1500244,1887.75,218.0500031,1895.900024,2368.149902,460.4500122,3738.350098,2522.399902,715.3499756
01-01-2022,1485.699951,788.7999878,1736.199951,220.1999969,1909.199951,2386.600098,538.2999878,3736.25,2360.300049,572.5999756
01-02-2022,1426.25,742.7000122,1715.599976,215.8500061,1816.75,2359.550049,483.2000122,3554.199951,2546.550049,555.7999878
01-03-2022,1470.349976,730.2999878,1906.849976,250.6499939,1767.650024,2634.75,493.5499878,3739.949951,2536.149902,591.9000244
01-04-2022,1384.599976,743.2999878,1567.550049,259.5499878,1694.349976,2790.25,496.2999878,3546.699951,2458.199951,508.7999878
01-05-2022,1388.949951,752.8499756,1503.599976,270.6499939,1654.5,2632.649902,468.1000061,3364.350098,2216,478.0499878
01-06-2022,1348,707.2000122,1461.900024,273.5,1558.25,2595.649902,465.8999939,3267.100098,1941.25,416.0499878
01-07-2022,1434.199951,818.5999756,1549.699951,303.0499878,1808.050049,2509.449951,528.3499756,3301.899902,2352.050049,423.7000122
01-08-2022,1486.099976,887.2999878,1492.949951,320.5,1922.5,2637.949951,531.25,3211.149902,2604.649902,413.5499878
01-09-2022,1421.349976,862,1413.449951,332.2000122,1847.699951,2377.75,530.5999756,3004.550049,2606.949951,394.25
01-10-2022,1496.699951,908.7000122,1537.650024,348.7000122,2023.099976,2549.600098,573.7999878,3193.149902,2761.5,386.5499878
01-11-2022,1608.449951,952.9000244,1634.949951,340,2074.850098,2731.350098,602.4500122,3390.800049,2653,406.8999939
01-12-2022,1628.150024,890.8499756,1508.199951,331.5499878,2085.800049,2547.199951,613.7000122,3256.699951,2597.5,392.75
